I heart you like I heart bacon... Oiled up and waiting in the kitchen., Dont like bacon...?,
I heart you like I heart bacon... Oiled up and waiting in the kitchen., Dont like bacon...?,
Lets try anal, Too rough?,
We'll bang, ok,
Roses are red. Violets are too. I am colourblind., This button is blue,
Come with me and we can dance the horizontal tango all night..., Then fuck in the morning?,
Let's do it like they do on the Discovery Channel, Put on your fursuit,
Be my butt buddy, Too cheeky?,
I luv u 5ever... That mean I luv u more den 4ever, Lik dis if u cry evrtim,
Roses are red. Violets are twisted. Bend over please, Hope you like getting fisted,
Stop... Hammer time, (The hammer is my penis),
Roses are red. Violets are blue., FUCK YOU,
You're alright, I 'spose,
Your sister... Is hotter, Threesome?,
You want these lumps?, You gotta put a ring on it,
If you were my little toe... I'd bang you against a table, Again and again and again and ...,
You're perfect just the way you are, You dense motherfucker,
Whale you be my valentine, (Its funny because of your weight problems),
They will never find your body, as attractive as I do,
In my ideal future you will always be there, until I finish up and close the tab,
Till death, brb... killing self,
I'd like to have copious amounts of sexual intercourse with you if you know what I mean, dat single entendre,
If I was a pilot etc..., COCKPIT,
Please never stop uploading pictures of yourself to facebook, I like them ;),
I hate you, a little less than everyone else,
You should really cover your webcam, Trust me,
I heart you almost as much as myself... If I could make a clone of myself I would, Its technically masturbation,
Your special, very very very special,
Share this with friends, or people you generally dislike. That's good too,
If you're feeling alone today that's fine, how is today any different from normal?,
